date,project_id,expected_inflow,actual_inflow,expected_outflow,actual_outflow,opening_cash,closing_cash,net_cash_flow,net_cash_flow_lag1,rolling_net_7,rolling_outflow_30
2022-01-28,PJT_A,802737.87,349937.56,1005735.84,865727.27,2264901.42,1749111.71,-515789.71,,-515789.71,865727.27
2022-03-27,PJT_A,1274729.03,0.0,569882.92,371183.62,1749111.71,1377928.09,-371183.62,-515789.71,-443486.66500000004,618455.4450000001
2022-05-06,PJT_A,818083.51,275585.62,1507023.64,1293507.07,1377928.09,360006.64,-1017921.45,-371183.62,-634964.9266666666,843472.6533333333
2022-12-09,PJT_A,1207020.34,0.0,512367.63,332375.47,360006.64,27631.17,-332375.47,-1017921.45,-559317.5625,715698.3574999999
2023-03-01,PJT_A,544394.85,1314727.5,213769.84,844744.47,27631.17,497614.2,469983.03,-332375.47,-353457.444,741507.58
2023-03-02,PJT_A,0.0,99522.84,410749.85,458449.88,497614.2,138687.16,-358927.04,469983.03,-354369.0433333333,694331.2966666666
2023-03-27,PJT_A,742690.43,0.0,0.0,32512.99,138687.16,106174.17,-32512.99,-358927.04,-308389.60714285716,599785.8242857142
2023-04-17,PJT_A,349698.06,21234.83,747809.64,96485.07,106174.17,30923.93,-75250.24,-32512.99,-245455.39714285714,536873.23
2023-04-30,PJT_A,0.0,0.0,0.0,28302.21,30923.93,2621.72,-28302.21,-75250.24,-196472.33857142855,480365.3388888889
2023-05-08,PJT_A,435860.97,0.0,494003.8,2433.12,2621.72,188.6,-2433.12,-28302.21,-51402.57714285713,432572.11699999997
2023-05-12,PJT_A,0.0,0.0,728074.65,172.28,188.6,16.32,-172.28,-2433.12,-3944.978571428566,393263.04090909095
2023-06-13,PJT_A,0.0,3.26,273067.6,14.69,16.32,4.89,-11.43,-172.28,-71087.04428571429,360492.345
2023-08-21,PJT_A,452751.53,415514.15,656020.34,415518.77,4.89,0.27,-4.62,-11.43,-19812.41285714286,364725.14692307694
2023-08-27,PJT_A,775295.16,0.0,420927.88,0.25,0.27,0.02,-0.25,-4.62,-15167.735714285718,338673.3685714286
2023-09-14,PJT_A,364331.18,0.0,535249.96,0.02,0.02,0.0,-0.02,-0.25,-4417.704285714288,316095.1453333333
