date,project_id,expected_inflow,actual_inflow,expected_outflow,actual_outflow,opening_cash,closing_cash,net_cash_flow,net_cash_flow_lag1,rolling_net_7,rolling_outflow_30
2022-01-28,PJT_A,0.0,0.0,838282.54,813745.6,2014901.42,1201155.82,-813745.6,,-813745.6,813745.6
2022-12-09,PJT_A,822187.01,240231.16,871482.74,1102131.16,1201155.82,339255.82,-861900.0,-813745.6,-837822.8,957938.3799999999
2022-12-29,PJT_A,737472.93,0.0,1292408.68,311987.2,339255.82,27268.62,-311987.2,-861900.0,-662544.2666666667,742621.32
2023-03-01,PJT_A,699080.98,770949.48,553737.66,795755.93,27268.62,2462.17,-24806.45,-311987.2,-503109.8125,755904.9725
2023-03-02,PJT_A,0.0,0.0,700796.44,2280.39,2462.17,181.78,-2280.39,-24806.45,-402943.92799999996,605180.0560000001
2023-03-27,PJT_A,0.0,0.0,172374.11,167.88,181.78,13.9,-167.88,-2280.39,-335814.58666666667,504344.69333333336
2023-04-17,PJT_A,450731.5,0.0,203294.86,12.79,13.9,1.11,-12.79,-167.88,-287842.90142857144,432297.2785714286
2023-04-30,PJT_A,704465.57,681310.13,148856.79,359490.12,1.11,321821.12,321820.01,-12.79,-125619.24285714285,423196.38375000004
2023-05-08,PJT_A,310842.72,64364.22,664719.68,292452.81,321821.12,93732.53,-228088.59,321820.01,-35074.75571428572,408669.32
2023-05-12,PJT_A,0.0,0.0,0.0,18647.45,93732.53,75085.08,-18647.45,-228088.59,6830.922857142858,369667.13300000003
2023-06-13,PJT_A,387431.97,638854.35,536230.56,693521.0,75085.08,20418.43,-54666.65,-18647.45,2565.1799999999994,399108.3936363636
2023-08-21,PJT_A,798523.27,0.0,205876.79,18640.54,20418.43,1777.89,-18640.54,-54666.65,228.01571428571384,367402.7391666667
2023-08-27,PJT_A,503348.06,344881.97,365373.11,346503.88,1777.89,155.98,-1621.91,-18640.54,20.29714285714249,365795.1346153846
2023-09-14,PJT_A,0.0,0.0,0.0,143.51,155.98,12.47,-143.51,-1621.91,1.622857142856759,339677.1614285714
2023-09-18,PJT_A,553568.17,0.0,0.0,11.58,12.47,0.89,-11.58,-143.51,-45974.31857142858,317032.7893333333
2023-09-26,PJT_A,748000.33,0.0,133813.56,0.82,0.89,0.07,-0.82,-11.58,-13390.351428571432,297218.29125
